"","Ref","norm_hom","norm_het","binorm_hom","binorm_het","cf_hom","cf_het"
"1",-1.20706574938542,-2.1508576972599,-2.15191780677601,-2.15070517998889,-2.15172628447948,-2.14757118836691,-2.14779080052562
"2",0.27742924211066,-0.731695035259579,-0.728420305215082,-0.733101853494898,-0.730797582827744,-0.735150153292693,-0.734258852472301
"3",1.08444117668306,0.0295591829118584,0.0289086112924228,0.086407257568669,0.141798186277895,0.0341131578446257,0.0379519482525248
"4",-2.34569770262935,-3.22338803967394,-3.22338803967394,-3.22209872450822,-3.22209872450822,-3.23199810667701,-3.23199810667701
"5",0.42912468881105,-0.584071559758209,-0.577943648798446,-0.650786971330184,-0.694153830473826,-0.591011709798888,-0.590032551168651
"6",0.506055892157574,-0.520916795247835,-0.522200754653922,-0.530997967862838,-0.540033213113486,-0.521769240405265,-0.523708634088137
"7",-0.574739960134649,-1.53704031586547,-1.53323093915337,-1.54826597745289,-1.54922782260728,-1.54198109909187,-1.54027169419737
"8",-0.546631855784187,-1.52098211687154,-1.52171046328593,-1.51060242693862,-1.50683572770692,-1.51646336466045,-1.51523481278756
"9",-0.564451999093283,-1.53977908174877,-1.541298215518,-1.58503098588474,-1.60591627241893,-1.53059415027221,-1.52818247075288
"10",-0.890037829044104,-1.84501488642319,-1.84483880179374,-1.82731358341627,-1.82115550015052,-1.87906482583818,-1.89039561677981
"11",-0.477192699753547,-1.45137371857871,-1.45048593371005,-1.40503790425919,-1.38315524104835,-1.4525781273373,-1.45223606321905
"12",-0.998386444859704,-1.94197642510066,-1.93996911063188,-1.93674763948831,-1.93312326968952,-1.94407427552054,-1.94271574271055
"13",-0.77625389463799,-1.7263435275921,-1.72225139995896,-1.75215125707658,-1.75757540636928,-1.73140760613597,-1.72918279402265
"14",0.0644588172762693,-0.947256865614095,-0.952516934366173,-0.934862853291074,-0.932446560659586,-0.942036153204656,-0.944062719028867
"15",0.959494058970771,-0.0887042692385275,-0.0889137619136707,-0.187667254011986,-0.280585505750662,-0.0877326753638238,-0.0870319765906825
"16",-0.110285494390774,-1.1130826258443,-1.11776812465272,-1.10983394590331,-1.11268802344853,-1.11955965879246,-1.12789654095632
"17",-0.511009505806642,-1.47301615200287,-1.46750012552585,-1.50208759499061,-1.50945916916583,-1.48589484315573,-1.48608804234637
