"","Ref","g=0.1","g=0.2","g=0.3","g=0.4","g=0.5","g=0.6","g=0.7","g=0.8","g=0.9","g=1"
"1",0,-2.11740318940945,-0.521929088825427,-1.76146732929965,-1.35603645390099,-1.82474945769728,-0.922335684615592,-5.45324673611731,-2.64453465208354,-1.96840238396652,-1.48385760540418
"2",0,-1.17607580622282,-1.28765205284357,-1.52812090067259,-2.58622928829572,-6.49109814840573,-1.97650511103728,-3.9760232246627,-2.95052063904016,-1.25691363469251,-3.50858760695498
"3",0,-3.4106723784345,-0.998136569148792,-0.727211318169015,-2.59573230073153,-1.8072899783901,-0.92376299122894,-1.70013473748012,-2.05961284893889,-1.32104916835939,-4.69467694531914
"4",0,-2.58575010902361,-0.581368889976287,-1.38600074579381,-2.77856875775903,-4.12993624935538,-2.58773680674849,-2.47302955649096,-1.40805165445162,-1.12225378266305,-2.25272404152798
"5",0,-1.74879094775118,-4.81211051088178,-1.97742157929227,-1.5719378991074,-1.80773659387195,-3.94528133418888,-3.05223726223695,-2.00117670855666,-8.65464591219312,-3.01659273780632
"6",0,-1.66057056600171,-1.76865526168888,-3.77957577389034,-1.85291984203751,-3.26905475204548,-1.9307858037327,-2.64975626189614,-1.42231140368228,-2.19893844173999,-3.44677613457114
"7",0,-1.78109345505566,-3.62272979209288,-0.480002143605937,-2.56790420675603,-1.79730557737364,-4.59843612909138,-3.20724243046366,-1.2907109649287,-1.01648600037443,-2.11877673230939
"8",0,-2.79170966129834,-2.64731575778584,-2.37620229277252,-4.10106731613973,-3.53400884704539,-2.09078710011746,-4.68353781866429,-0.80225912746829,-1.60606711285276,-1.45709246823997
"9",0,-2.88560361144178,-2.06846874268334,-3.74245444147755,-2.77432007680284,-3.21065594754162,-3.34637739133162,-1.42257627767397,-4.82195621179283,-1.24058090027003,-1.68323777280803
"10",0,-1.15344043992572,-1.62337518277626,-2.76060113565632,-0.886880371104256,-1.48732925677251,-2.5256181944312,-2.87841434999703,-2.51650531971653,-1.87176820243598,-2.06355991412323
"11",0,-1.86487349127779,-2.7035608769241,-2.19942631382577,-2.91238798753281,-2.47347376421257,-1.5296924406378,-1.84750187142944,-1.4825136200856,-1.14653261561658,-2.50061387897298
"12",0,-0.784455079608534,-1.50881824628176,-2.46935717376252,-3.89892672524631,-1.27627895615324,-1.83691158899046,-0.915774542395487,-1.54311305934692,-1.64690530631997,-5.71967149980251
"13",0,-3.69702542119042,-2.6857545621624,-1.80710393100906,-2.07539422773985,-1.5568344645595,-1.9130974431474,-1.98223425753597,-1.33621010664423,-1.09966842355365,-1.42345143166417
"14",0,-1.56636460710813,-2.55729442072924,-0.969101627903894,-2.66739304149841,-2.33625309101297,-5.84323807988403,-1.72511381262603,-2.93036304245826,-1.43155078134636,-1.14228621685579
"15",0,-2.31037481759145,-2.76192278176261,-3.38999547816326,-2.44347255280278,-2.18837698727512,-3.88736678800895,-1.28941214072896,-4.01561965395134,-1.15966360651506,-1.7078638277325
"16",0,-0.147675535928757,-2.21622460830781,-4.26788374822834,-1.77154869674657,-5.05997434862706,-2.80802792005946,-3.89544190574632,-5.23941373138956,-2.94489658799813,-4.13138132198231
"17",0,-1.63595857786713,-3.21757559021205,-1.27573803746533,-1.58311524161521,-2.11608225281232,-2.72332800247455,-1.36428832143715,-3.57728149724518,-1.76911767771743,-1.78375117197517
"18",0,-2.33038765931687,-3.13063795614469,-1.80662687768762,-1.69275123251773,-1.18175757343587,-0.86997855176808,-1.5455070853057,-2.37158672827134,-4.5224511042043,-1.41096273823602
"19",0,-2.09868129876226,-1.91373275714235,-1.36759443356806,-0.803963249159338,-2.02792647192186,-2.25790154432332,-1.07667409387956,-2.90603344265832,-2.14936166199538,-1.83225508444303
"20",0,-2.57562464834096,-0.569292492882359,-1.10091223370216,-2.48318326270749,-4.80053515693745,-4.66222694922663,-1.35493295472065,-4.64394500663192,-6.16289452717869,-1.81394088475597
"21",0,-2.77027145764907,-0.609340190227797,-1.81160223423572,-0.86681274348273,-2.01531218991439,-1.66837270685993,-2.03737277250259,-4.7903184847119,-2.6171225808288,-2.05514132309644
"22",0,-0.297560436622489,-2.71806300334692,-0.906009771223337,-1.5384117155615,-3.73999585583223,-2.76501009206687,-2.86646488643943,-2.82349210355057,-2.01075200510647,-2.61332725289802
"23",0,-1.98454528951516,-4.39354437684845,-4.23054135413669,-1.01624879327934,-3.06587851732458,-1.67084322680626,-2.96972350981135,-1.7243773395268,-0.978081176506338,-1.30666793694576
"24",0,-4.03922111423407,-0.718505657875086,-1.90214619019261,-1.84601344221295,-1.85337845178582,-2.68097679513095,-2.67551667063687,-3.5472247600756,-1.61445779082408,-1.57011887275852
"25",0,-4.26746004486134,-0.849785091087774,-1.46153758569831,-2.10463783330306,-0.870926842167733,-2.03318439337052,-2.47313991278105,-1.99086814171016,-1.18945360459645,-2.08234197097282
"26",0,-1.01650319138291,-2.70313323952355,-2.19129194485844,-2.6223893574144,-2.67442662817512,-1.21193499203452,-1.92650323450641,-1.38474978292795,-1.5828838849475,-1.52859380149884
"27",0,-1.68179293393334,-2.08290760307502,-1.80369667088225,-1.33884737854821,-2.86763223255342,-1.18404127017024,-1.47940508065851,-3.26810355045753,-2.19282855948743,-1.21209368235672
"28",0,-0.134562412406611,-0.80433775821324,-1.72680726840229,-0.695329445862428,-1.65856983872563,-2.84747631285936,-1.85098141796923,-1.30028810233065,-4.09135635252003,-2.44517478084004
"29",0,-0.582613673809302,-3.26367377749426,-1.7166714059307,-1.88987839936098,-0.724520686647078,-1.12755704854552,-5.29648185486767,-1.79828357014999,-1.34565269865933,-1.09369205923922
"30",0,-4.5965725768013,-1.95390904786796,-1.22542689146134,-3.48178575008216,-2.3598004082814,-2.34471440749482,-2.42984865648227,-1.86690725141928,-5.30903781778027,-1.66110989485271
"31",0,-1.97021302873095,-1.07701061928186,-1.69242530913258,-1.58755203446548,-1.29799220517794,-2.8912916590481,-2.70655717495183,-1.96665081075523,-2.39099737269071,-2.36720195001269
"32",0,-3.26671146762408,-2.90993043806629,-3.16746693917083,-2.80855838840755,-1.0636429212037,-0.722614544781418,-1.74920824886403,-1.2204573449673,-8.71559613869651,-2.54665135980016
"33",0,-1.14544046189288,-2.67998034268195,-1.92848448135184,-2.02599205253355,-1.34770705155482,-3.03706564093364,-3.0410864633566,-1.40716071763524,-1.39537224337332,-2.71099423597856
"34",0,-1.63063962010836,-2.38820630729666,-2.21702257243179,-2.45913154324327,-4.69752762873969,-0.839388236486641,-2.14443104198428,-4.00608974495197,-1.94563270367217,-1.82490091742699
"35",0,-2.82800588009401,-1.55196292164966,-0.939170477107243,-0.880676349814842,-2.02699369131294,-4.23411616582364,-1.60574595725149,-2.17530698202615,-7.76720604462699,-1.37159369191358
"36",0,-2.01401022970768,-2.07167585094992,-1.21924223753535,-0.723639253586985,-1.52246505950196,-2.02105636193858,-2.29272977324365,-1.41105668697832,-2.11368019464565,-1.19777342326586
"37",0,-1.0311582417473,-2.37732430094232,-3.17872078461654,-2.05171970354193,-2.32572916351181,-1.12105222279904,-1.19264177505651,-2.14067760155816,-6.26304270888175,-1.74545171543947
